GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quarkus-application,com.epita.repo_post.service,PostService,190,511,22,30,28,116,25,15,4,10
quarkus-application,com.epita.exchange.error,ErrorCode.RuntimeError,6,35,0,0,2,7,2,4,2,4
quarkus-application,com.epita.exchange.error,ErrorCode,5,6,0,0,1,1,1,1,1,1
quarkus-application,com.epita.repo_post,RepoPostErrorCode,6,75,2,2,2,14,3,4,1,4
quarkus-application,com.epita.repo_post.repository,BlockedRepository,4,23,0,0,2,2,1,2,1,2
quarkus-application,com.epita.repo_post.repository,PostRepository,0,35,0,0,0,7,0,4,0,4
quarkus-application,com.epita.repo_post.controller.response,AllRepliesResponse,6,21,1,1,1,3,2,4,1,4
quarkus-application,com.epita.exchange.auth.service.entity,AuthEntity,112,12,22,0,4,2,19,2,8,2
quarkus-application,com.epita.exchange.redis.service,RedisPublisher,20,29,0,0,5,8,1,2,1,2
quarkus-application,com.epita.exchange.s3.service,S3Service,111,148,4,2,28,32,5,6,2,6
quarkus-application,com.epita.exchange.error.controller.response,ErrorResponse,0,21,0,0,0,4,0,4,0,4
quarkus-application,com.epita.repo_post.repository.model,PostModel,40,72,0,0,1,12,2,20,2,20
quarkus-application,com.epita.repo_post.repository.model,BlockedModel,46,0,0,0,7,0,10,0,10,0
quarkus-application,com.epita.repo_post.converter,PostModelToPostEntity,0,30,0,0,0,9,0,2,0,2
quarkus-application,com.epita.repo_post.converter,PostModelToPostAggregate,0,29,0,0,0,9,0,2,0,2
quarkus-application,com.epita.exchange.redis.command,FollowCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand.LikeCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.redis.command,LikeCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,FollowCommand.FollowCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.redis.command,BlockCommand,60,0,0,0,9,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.command,BlockCommand.BlockCommandBuilder,45,0,0,0,1,0,7,0,7,0
quarkus-application,com.epita.exchange.error.service,RuntimeExceptionMapper,18,0,0,0,7,0,2,0,2,0
quarkus-application,com.epita.exchange.error.service,GlobalErrorMapper,0,6,0,0,0,2,0,2,0,2
quarkus-application,com.epita.repo_post.service.entity,PostEntity,501,257,98,8,2,12,69,20,17,19
quarkus-application,com.epita.repo_post.controller.request,EditPostRequest,75,6,6,0,4,2,12,2,9,2
quarkus-application,com.epita.repo_post.controller.request,CreatePostRequest,75,6,6,0,4,2,12,2,9,2
quarkus-application,com.epita.repo_post.controller.request,PostReplyRequest,75,6,6,0,4,2,12,2,9,2
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate.PostAggregateBuilder,108,0,0,0,1,0,14,0,14,0
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate,363,0,18,0,14,0,40,0,31,0
quarkus-application,com.epita.exchange.redis.aggregate,UserAggregate.UserAggregateBuilder,90,0,0,0,1,0,12,0,12,0
quarkus-application,com.epita.exchange.redis.aggregate,PostAggregate,206,279,13,9,3,13,26,22,17,20
quarkus-application,com.epita.exchange.utils,Logger,0,4,0,0,0,1,0,1,0,1
quarkus-application,com.epita.exchange.utils,Converter,17,0,2,0,4,0,3,0,2,0
quarkus-application,com.epita.repo_post.controller,RepoPostController,0,127,0,0,0,20,0,7,0,7
quarkus-application,com.epita.repo_post.controller,RedisSubscriber,10,30,0,0,3,7,1,2,1,2
quarkus-application,com.epita.exchange.auth.service,AuthService,12,23,3,1,2,5,3,3,1,3
quarkus-application,com.epita.exchange.auth.service,AuthFilter,21,74,6,4,4,16,5,3,0,3
quarkus-application,com.epita.exchange.auth.service,AuthContext,0,10,0,0,0,4,0,3,0,3
